image_id,x_1,y_1,width,height,class_id
000051.jpg,61,98,255,353,1
000052.jpg,135,159,333,461,1
000065.jpg,377,105,164,227,1
000166.jpg,467,132,276,382,1
000198.jpg,137,89,179,248,1
000201.jpg,279,68,520,720,1
000240.jpg,131,107,114,158,1
000282.jpg,28,29,127,176,1
000352.jpg,112,129,315,436,1
000409.jpg,77,52,179,248,1
000414.jpg,73,35,211,292,1
000439.jpg,42,27,161,223,1
000444.jpg,180,147,354,490,1
000474.jpg,99,25,86,119,1
000525.jpg,23,41,62,86,1
000545.jpg,430,371,1799,2491,1
000559.jpg,88,68,96,133,1
000572.jpg,293,58,91,126,1
000608.jpg,50,65,190,263,1
000653.jpg,106,68,99,137,1
000716.jpg,134,104,83,115,1
000771.jpg,621,169,601,832,1
000798.jpg,102,124,205,284,1
000810.jpg,122,77,99,137,1
000845.jpg,57,35,146,202,1
000858.jpg,91,92,130,180,1
000873.jpg,43,11,185,256,1
000922.jpg,422,98,325,450,1
000989.jpg,60,49,291,403,1
001140.jpg,123,49,177,266,1
001161.jpg,33,53,151,209,1
001218.jpg,103,22,73,101,1
001242.jpg,567,300,702,972,1
001248.jpg,209,78,192,266,1
001256.jpg,143,106,237,328,1
001270.jpg,266,136,239,330,1
001295.jpg,109,34,109,151,1
001401.jpg,239,55,117,162,1
001509.jpg,116,57,99,137,1
001519.jpg,46,84,182,252,1
001613.jpg,211,55,127,176,1
001637.jpg,494,95,380,526,1
001665.jpg,165,59,138,191,1
001708.jpg,101,68,107,148,1
001782.jpg,126,90,156,207,1
001800.jpg,73,71,153,212,1
001894.jpg,184,106,120,166,1
001921.jpg,24,45,73,101,1
001983.jpg,101,69,192,266,1
002085.jpg,114,174,203,281,1
002125.jpg,73,47,179,248,1
002134.jpg,203,32,159,220,1
002150.jpg,244,91,239,331,1
002197.jpg,261,101,224,310,1
002202.jpg,49,35,140,194,1
002223.jpg,99,103,315,436,1
002256.jpg,108,25,120,166,1
002310.jpg,40,29,114,147,1
002362.jpg,156,148,260,360,1
002389.jpg,97,59,153,212,1
002415.jpg,134,244,169,234,1
002427.jpg,322,73,166,230,1
002443.jpg,153,58,120,166,1
002450.jpg,130,73,117,162,1
002456.jpg,118,107,206,291,1
002502.jpg,171,46,146,202,1
002525.jpg,78,132,226,313,1
002527.jpg,11,75,133,184,1
002556.jpg,93,54,78,108,1
002592.jpg,200,5,164,227,1
002598.jpg,87,39,127,176,1
002653.jpg,98,198,309,428,1
002662.jpg,163,103,239,331,1
002663.jpg,738,180,385,533,1
002693.jpg,105,55,146,202,1
002698.jpg,15,53,75,104,1
002747.jpg,108,69,260,360,1
002808.jpg,174,83,68,94,1
002834.jpg,93,81,218,302,1
002903.jpg,279,4,135,187,1
003026.jpg,189,314,385,533,1
003103.jpg,89,11,130,180,1
003148.jpg,373,49,114,158,1
003252.jpg,199,25,187,259,1
003306.jpg,176,52,135,187,1
003354.jpg,379,323,770,1066,1
003363.jpg,31,50,159,220,1
003416.jpg,421,182,255,353,1
003427.jpg,166,78,143,198,1
003461.jpg,238,19,153,212,1
003477.jpg,199,40,153,212,1
003516.jpg,51,58,151,209,1
003543.jpg,280,55,172,238,1
003630.jpg,114,48,567,669,1
003632.jpg,112,71,114,158,1
003652.jpg,189,239,692,958,1
003683.jpg,127,96,286,396,1
003747.jpg,233,265,580,803,1
003776.jpg,90,104,159,220,1
003847.jpg,85,26,161,223,1
003928.jpg,60,75,122,169,1
003940.jpg,22,81,281,370,1
003959.jpg,104,41,312,432,1
003976.jpg,6,78,205,284,1
004007.jpg,138,77,151,209,1
004026.jpg,222,44,83,115,1
004109.jpg,206,54,179,248,1
004132.jpg,92,70,200,277,1
004136.jpg,617,579,933,1292,1
004174.jpg,56,41,104,144,1
004178.jpg,118,108,239,306,1
004205.jpg,82,73,140,194,1
004311.jpg,195,65,177,245,1
004326.jpg,41,62,260,360,1
004353.jpg,19,33,166,230,1
004405.jpg,410,298,497,688,1
004409.jpg,52,12,44,61,1
004422.jpg,28,66,252,349,1
004449.jpg,96,21,224,310,1
004460.jpg,74,66,195,270,1
004540.jpg,322,65,179,248,1
004557.jpg,78,83,164,227,1
004584.jpg,1732,808,551,763,1
004599.jpg,227,17,148,205,1
004623.jpg,89,90,172,238,1
004663.jpg,71,56,78,108,1
004726.jpg,62,45,99,137,1
004728.jpg,316,28,181,251,1
004757.jpg,129,69,224,310,1
004762.jpg,95,46,125,173,1
004779.jpg,98,121,289,400,1
004886.jpg,97,61,190,263,1
005020.jpg,124,10,75,104,1
005089.jpg,112,98,94,130,1
005091.jpg,109,103,182,252,1
005158.jpg,83,27,276,382,1
005249.jpg,100,28,112,155,1
005256.jpg,157,47,182,252,1
005308.jpg,108,51,91,126,1
005334.jpg,94,77,156,216,1
005363.jpg,77,111,195,270,1
